基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,上涨季度比例,上涨月份比例,上涨星期比例,季涨跌幅标准差,月涨跌幅标准差,周涨跌幅标准差,最大回撤率,近3年年化收益率,近3年上涨季度比例,近3年上涨月份比例,近3年上涨星期比例,近3年季涨跌幅标准差,近3年月涨跌幅标准差,近3年周涨跌幅标准差,近3年最大回撤率,近1年年化收益率,近1年上涨月份比例,近1年上涨星期比例,近1年月涨跌幅标准差,近1年周涨跌幅标准差,近1年最大回撤率,最近一个月涨跌幅,近1年夏普比率,近3年夏普比率,近1年卡玛比率,近3年卡玛比率,全期最长回撤修复天数,近1年最长回撤修复天数,近3年最长回撤修复天数,全期最大单日跌幅,近1年最大单日跌幅,近3年最大单日跌幅,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期,得分_风险控制,得分_短期业绩,得分_持有体验,得分_长期业绩,综合得分,综合排名
000070,国投瑞银中高等级债券C,2013/5/14,2026/2/27,7.79,9.52,7.97,82,68,59,2.13,1.52,0.77,7.14,9.08,92,75,63,1.33,1.39,0.73,4.95,11.25,92,75,0.81,0.39,1.87,2.04,3.5,1.35,6.02,1.83,199,43,43,-2.38,-1.42,-2.38,债券型-混合一级,开放申购,开放赎回,,10,10000000000.0,0.3,0.1,0.3,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/12/7,0.5303792678728192,0.6272563176895307,0.432375415282392,0.42505016354690633,0.5240422466508603,16
000123,汇添富实业债债券C,2013/6/14,2026/2/27,62.14,12.71,5.87,86,75,60,1.92,0.97,0.48,7.13,7.82,100,78,61,1.37,1.06,0.67,7.13,9.22,83,65,0.71,0.53,2.33,1.15,2.14,1.31,3.96,1.1,429,60,67,-2.66,-1.6,-2.66,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/6/29,0.28256880733944956,0.3671047417370369,0.20428571428571426,0.26630484237894053,0.2898333743039023,35
000182,景顺长城四季金利债券C,2013/7/30,2026/2/27,3.1,7.32,4.43,90,82,75,0.85,0.47,0.21,2.37,4.93,92,81,72,0.91,0.5,0.22,1.5,7.66,92,65,0.7,0.33,1.5,1.41,2.61,2.13,5.1,3.28,230,35,35,-0.61,-0.61,-0.61,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2023/8/25,0.7419937076967517,0.38890878836637177,0.4353322259136213,0.4823425700782498,0.5357882648982364,13
000255,长城增强收益定开债券C,2013/9/6,2026/2/27,4.73,10.83,6.41,81,73,58,1.93,0.96,0.49,6.06,5.98,92,72,58,1.01,0.85,0.38,1.66,7.15,92,69,0.5,0.27,1.22,0.72,2.87,1.59,5.84,3.59,146,39,94,-1.66,-1.22,-1.66,债券型-混合一级,暂停申购,暂停赎回,2026/3/30,10,100000000000.0,0.6,0.2,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2020/7/18,0.5755810446495405,0.3314604587921661,0.4132890365448505,0.5141724521918934,0.46067517840274314,22
001013,华夏希望债券C,2008/3/10,2026/2/27,2.96,8.76,5.24,91,81,70,0.95,0.52,0.26,2.32,5.3,92,83,67,0.92,0.5,0.27,1.29,6.71,100,75,0.42,0.27,0.96,1.05,2.77,1.92,7.02,4.12,168,31,119,-1.25,-0.81,-1.25,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.7,0.2,0.3,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2023/11/11,0.5467968692758136,0.4032256479485622,0.6640033222591362,0.5822712243139196,0.5324879467300185,15
001249,易方达新利灵活配置混合,2015/4/30,2026/2/27,14.11,15.09,5.11,80,77,65,2.67,1.21,0.46,11.55,4.34,83,86,73,0.89,0.53,0.25,1.9,6.44,100,69,0.69,0.37,1.9,2.04,1.82,1.57,3.39,2.29,253,28,75,-2.07,-0.85,-0.85,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,,1.0,fund_overview.最高认购费率,0.12,fund_purchase.手续费,2026/2/27,2024/9/11,0.503708694449854,0.33323986384233084,0.530265780730897,0.267581889521703,0.42246044178458303,29
001286,易方达新鑫混合E,2015/5/14,2026/2/27,13.09,6.3,3.85,84,71,68,1.49,0.85,0.32,2.61,5.79,92,78,66,1.57,0.97,0.37,1.73,6.36,75,67,0.83,0.34,1.73,1.65,2.01,1.6,3.67,3.34,170,45,79,-1.0,-1.0,-1.0,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,0.2,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2022/8/6,0.5279156048962992,0.3021213861798027,0.4096013289036545,0.47460306527162693,0.42851760313912046,28
001433,易方达瑞景混合,2015/6/30,2026/2/27,30.96,12.85,4.78,86,69,60,2.13,1.08,0.43,12.36,5.63,100,75,61,0.88,0.66,0.38,1.94,6.17,83,71,0.5,0.35,1.48,1.25,1.99,1.47,4.17,2.9,207,45,144,-3.9,-0.87,-1.58,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.15,,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026/2/27,2022/8/6,0.33198847712209106,0.2758738653977321,0.41244186046511633,0.3974448293376887,0.34106322310572806,33
001806,易方达瑞智灵活配置混合I,2017/6/21,2026/2/27,11.02,8.76,2.76,77,68,62,5.49,2.9,1.31,27.04,4.52,100,81,74,0.86,0.4,0.16,1.18,5.94,92,78,0.39,0.17,0.42,0.13,3.63,2.6,14.28,3.82,120,22,48,-4.95,-0.19,-0.39,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.1,0.0,0.5,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2022/8/6,0.9172377981966514,0.6064398541919805,0.7698837209302326,0.5807681819326229,0.7440571571023621,1
001807,易方达瑞智灵活配置混合E,2017/6/21,2026/2/27,25.88,13.88,7.51,84,74,62,2.78,1.69,0.7,15.6,3.99,92,78,65,0.76,0.45,0.27,1.69,5.8,83,69,0.53,0.35,1.26,1.27,1.84,1.28,4.61,2.36,1248,44,67,-4.29,-0.71,-0.76,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.1,0.2,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2022/8/6,0.6658309684255355,0.2843364601049996,0.42887043189368773,0.22659709946483744,0.4381054282789004,27
003662,鹏华永盛一年定开债,2016/12/29,2026/2/27,2.44,9.16,6.92,84,69,60,2.03,1.27,0.65,7.4,5.14,92,72,60,1.19,0.97,0.45,4.0,5.07,100,73,0.33,0.16,0.86,0.6,3.28,1.1,5.9,1.29,242,22,55,-2.26,-0.86,-1.56,债券型-混合一级,暂停申购,暂停赎回,2026/8/6,10,100000000000.0,0.4,0.1,,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2024/6/15,0.7154682839740077,0.24578242488406893,0.5727574750830564,0.1316062128652896,0.4584410538025281,23
003693,大成景尚灵活配置混合C,2016/11/11,2026/2/27,24.44,14.72,5.92,73,65,56,3.41,1.42,0.73,10.81,4.91,92,72,59,0.88,0.66,0.34,2.32,5.06,83,59,0.52,0.31,1.34,1.13,1.77,1.35,3.78,2.12,628,117,117,-6.15,-0.91,-1.44,混合型-灵活,开放申购,开放赎回,,10,100000000000.0,0.6,0.15,0.1,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2023/3/23,0.4466128788164735,0.205247416998318,0.23322259136212625,0.25086771444786377,0.3021634081248659,34
004228,泰信鑫利混合C,2017/5/25,2026/2/27,2.28,12.67,5.05,82,76,64,2.2,1.02,0.45,10.35,4.1,92,78,67,0.67,0.41,0.22,2.09,5.0,75,67,0.46,0.28,1.47,1.11,1.9,1.61,3.41,1.97,999,105,105,-4.15,-0.7,-0.7,混合型-偏债,暂停申购,开放赎回,,10,100.0,0.3,0.1,0.0,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/7/27,0.47232382836524245,0.1842693049664786,0.46541528239202656,0.2200999436634553,0.346692179445702,31
004503,鹏华永泰定期开放债券,2017/5/25,2026/2/27,27.62,6.28,5.37,84,69,63,1.74,1.07,0.57,5.5,4.64,92,75,65,0.74,0.48,0.24,1.18,4.91,92,75,0.44,0.21,0.98,0.96,2.41,1.77,4.99,3.93,429,28,51,-2.79,-0.76,-0.76,债券型-混合一级,暂停申购,暂停赎回,2026/10/15,10,100000000000.0,0.3,0.13,,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026/2/27,2021/1/2,0.7958837962985179,0.23658145723550167,0.5998172757475082,0.5087874869581708,0.545815344068359,10
004898,长安泓源纯债债券C,2017/7/27,2026/2/27,33.08,13.06,5.78,88,78,65,1.5,0.7,0.3,4.26,4.21,92,81,68,0.71,0.39,0.18,1.12,4.9,92,69,0.37,0.18,0.56,0.28,2.75,2.01,8.69,3.77,181,29,67,-0.95,-0.44,-0.61,债券型-长债,限大额,开放赎回,,10,10000.0,0.3,0.1,0.15,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2020/5/20,0.8218285639225571,0.3319802577304944,0.6320099667774086,0.4937256541934,0.587694916176535,4
005393,南方卓利3个月定开债,2018/1/19,2026/2/27,3.64,17.91,5.04,76,71,62,2.62,1.5,0.56,14.52,4.13,92,83,64,0.76,0.44,0.25,1.54,4.86,92,69,0.31,0.21,0.71,0.85,2.48,1.4,6.88,2.68,474,55,121,-2.17,-0.53,-0.94,债券型-长债,暂停申购,暂停赎回,2026/5/6,9999999999,0.01,0.3,0.1,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/2,0.580794573208958,0.3085293410494184,0.6341029900332226,0.28671658652741216,0.46566498892371716,21
005852,中银添利债券发起C,2018/4/12,2026/2/27,8.94,17.97,4.6,76,71,59,2.02,1.06,0.45,6.32,4.37,92,78,68,0.7,0.47,0.23,1.11,4.84,75,73,0.35,0.21,0.72,0.68,2.36,1.68,6.68,3.95,454,30,77,-1.61,-0.72,-0.72,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,0.15,,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,,0.7539211798308526,0.2809739830736715,0.6162458471760797,0.4877168523878588,0.5445713051562946,11
006208,泰康裕泰债券C,2019/3/14,2026/2/27,15.84,13.96,5.71,77,70,63,2.05,0.91,0.36,7.76,5.16,100,81,67,0.64,0.51,0.27,1.51,4.72,92,71,0.31,0.21,0.83,0.74,2.51,1.84,5.7,3.42,302,52,67,-1.37,-0.71,-0.92,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.6,0.1,0.1,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/1/6,0.7562652622589221,0.23865863828872697,0.6326744186046511,0.4793079451620675,0.534721508772481,14
006331,中银国有企业债C,2018/8/20,2026/2/27,30.0,6.96,3.67,89,73,62,0.84,0.46,0.23,2.64,4.0,92,78,68,0.71,0.39,0.18,1.12,4.7,83,69,0.37,0.18,0.58,0.26,2.59,1.86,8.16,3.58,139,31,65,-0.62,-0.45,-0.62,债券型-混合一级,限大额,开放赎回,,10,20000.0,0.3,0.1,0.3,,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2021/5/13,0.8252271267643342,0.29867864841171937,0.5870099667774087,0.44293099246790335,0.5622747311167,6
006717,平安惠金定开债C,2018/12/5,2026/2/27,18.16,14.46,4.74,83,75,64,1.69,0.78,0.35,6.0,4.19,92,83,69,0.67,0.37,0.19,1.2,4.59,83,69,0.35,0.21,1.03,0.5,2.04,1.93,4.46,3.49,330,36,85,-2.13,-0.45,-0.72,债券型-混合一级,暂停申购,暂停赎回,2026/4/21,10,100000000000.0,0.6,0.08,0.1,,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2020/9/3,0.6606270229263616,0.15283230890417515,0.6341029900332226,0.4490516011797645,0.47124748887908824,20
007100,中银添利债券发起E,2019/3/15,2026/2/27,62.51,8.97,5.26,94,81,71,0.99,0.53,0.24,1.99,4.77,100,83,66,0.69,0.46,0.26,1.26,4.58,83,65,0.39,0.21,0.72,1.12,2.21,1.73,6.33,3.77,100,36,66,-0.94,-0.43,-0.94,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,0.2,,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,,0.7895337941462686,0.30177553641260657,0.5769601328903654,0.49102172179171,0.5559147737218055,8
007667,华夏鼎泓债券C,2019/11/19,2026/2/27,7.21,6.28,4.95,80,67,62,1.74,1.07,0.57,5.57,4.21,83,72,63,0.75,0.48,0.24,1.24,4.49,83,75,0.44,0.21,1.03,0.92,2.14,1.53,4.36,3.39,476,28,51,-2.8,-0.76,-0.76,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/11/27,0.7841298362850903,0.18865353063071014,0.5548172757475083,0.393423298568211,0.501018451823728,17
007884,易方达恒盛3个月定开混合,2019/9/6,2026/2/27,5.99,12.79,4.95,88,75,62,1.29,0.68,0.29,3.37,3.79,92,81,63,0.57,0.37,0.19,1.22,4.43,92,65,0.33,0.19,0.57,0.94,2.37,1.61,7.7,3.1,400,35,67,-2.01,-0.29,-0.7,混合型-偏债,暂停申购,暂停赎回,2026/4/16,50000000000,0.01,0.6,0.1,,1.0,fund_overview.最高认购费率,0.1,fund_purchase.手续费,2026/2/27,2023/11/17,0.816688548465038,0.33928267283744024,0.5655647840531561,0.34501695524420706,0.5524912939112576,9
008036,蜂巢恒利债券C,2020/9/23,2026/2/27,3.16,5.21,3.93,86,73,64,1.16,0.63,0.3,4.15,4.79,100,81,66,0.64,0.52,0.27,1.56,4.35,92,67,0.32,0.21,0.85,0.72,2.26,1.66,5.08,3.07,412,55,67,-0.91,-0.71,-0.91,债券型-混合二级,开放申购,开放赎回,,10,100000000000.0,0.6,0.1,0.1,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/8/22,0.750739589505532,0.1950988163025512,0.575531561461794,0.39723064190630486,0.4959794097960061,18
008173,兴全稳泰债券C,2019/11/6,2026/2/27,21.81,13.96,5.09,79,69,58,2.36,1.28,0.56,9.46,3.86,83,72,54,0.98,0.59,0.32,2.07,4.31,75,57,0.4,0.26,0.94,0.76,1.69,1.04,4.58,1.87,484,57,91,-4.08,-0.55,-1.22,债券型-长债,限大额,开放赎回,,10,1000000.0,0.3,0.1,0.2,,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,,0.6287673871127322,0.1752660408882263,0.25116279069767444,0.1325778669676826,0.34276763594061144,32
008894,创金合信鑫利混合C,2020/1/17,2026/2/27,2.64,18.13,5.53,79,69,63,2.26,1.08,0.44,6.64,3.6,92,81,66,0.56,0.41,0.22,1.38,4.24,83,69,0.34,0.2,0.68,0.82,1.98,1.3,6.25,2.6,247,34,122,-1.81,-0.51,-0.78,混合型-偏债,限大额,开放赎回,,10,5000000.0,0.4,0.1,0.01,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/3/21,0.5881074938600016,0.25435813389142153,0.613405315614618,0.23899392493865695,0.44067521488214917,26
009078,红土创新稳进混合C,2020/3/6,2026/2/27,2.63,7.23,3.52,83,73,65,1.23,0.67,0.33,4.75,3.85,92,81,60,0.88,0.52,0.28,2.33,4.16,83,61,0.38,0.24,1.06,0.9,1.66,1.15,3.91,1.65,372,46,62,-0.92,-0.37,-0.92,混合型-偏债,开放申购,开放赎回,,10,100000000000.0,0.6,0.1,0.1,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,,0.7033031977841214,0.15422326898334937,0.46191029900332226,0.116865177340005,0.40233493632111245,30
121009,国投瑞银稳定增利债券C,2008/1/11,2026/2/27,15.87,10.72,5.62,81,73,62,2.94,1.78,0.9,6.95,4.16,100,81,72,0.63,0.35,0.15,0.93,3.9,75,65,0.34,0.15,0.62,0.94,2.3,2.44,6.28,4.46,459,35,63,-2.04,-0.16,-0.35,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.6,0.2,0.3,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2021/4/24,0.8307069899113582,0.2558836878788271,0.6027740863787376,0.6245393534671229,0.5817482731284394,5
161014,富国汇利回报两年定期开放债券,2010/9/9,2026/2/27,6.88,10.2,4.99,88,81,73,1.73,0.86,0.36,6.19,4.93,100,92,80,0.48,0.39,0.17,1.3,3.77,100,73,0.19,0.12,0.4,0.63,2.77,2.85,9.45,3.79,268,34,129,-2.07,-0.24,-0.35,债券型-混合一级,暂停申购,暂停赎回,2026/3/16,10,100000000000.0,0.5,0.15,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/6,0.6201274919448219,0.3617347357789446,0.9099667774086377,0.6253334169488691,0.601358410938429,3
161221,国投瑞银双债债券C,2014/3/31,2026/2/27,15.38,17.98,4.36,78,67,61,1.57,0.76,0.33,5.78,4.79,92,75,71,0.94,0.48,0.24,1.34,3.67,75,69,0.37,0.25,1.15,0.68,1.36,1.92,3.2,3.58,385,51,57,-1.14,-0.65,-0.65,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.7,0.2,0.4,,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/12/7,0.7352965953564273,0.08128542619582296,0.47689368770764123,0.4893927594951562,0.45052708769929806,24
164902,交银信用添利债券(LOF),2011/1/27,2026/2/27,4.34,12.58,4.28,84,71,60,1.49,0.88,0.43,5.86,4.55,92,72,62,0.86,0.48,0.24,1.24,3.64,75,57,0.42,0.19,0.81,0.65,1.7,1.77,4.5,3.66,328,39,67,-1.31,-0.24,-0.85,债券型-混合一级,限大额,开放赎回,,10,1000000.0,0.6,0.2,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2015/8/29,0.7687639936493963,0.1357147647212683,0.3162790697674419,0.4706675822798816,0.44363777848913977,25
519680,交银增利债券A/B,2008/3/31,2026/2/27,10.74,6.6,3.5,96,86,78,0.47,0.29,0.12,0.82,4.2,92,89,75,0.6,0.34,0.14,0.82,3.22,92,76,0.25,0.1,0.3,0.43,2.26,2.6,10.55,5.12,100,28,49,-0.35,-0.11,-0.33,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.3,0.1,0.0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/23,0.9486238532110092,0.37038271389850935,0.9264285714285715,0.7263252704396677,0.7373676676450706,2
519682,交银增利债券C,2008/3/31,2026/2/27,2.08,15.24,4.7,82,76,65,1.82,0.8,0.39,6.34,3.13,92,83,68,0.62,0.35,0.17,1.47,3.21,83,71,0.21,0.12,0.44,0.45,1.94,1.32,7.31,2.13,374,29,99,-2.63,-0.19,-0.6,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/11/23,0.7169491890818719,0.22590304840601452,0.7463953488372093,0.15904867925565544,0.4918395023562496,19
675113,西部利得汇享债券C,2017/3/10,2026/2/27,4.98,6.98,3.24,82,78,72,0.77,0.42,0.16,2.06,3.3,83,83,74,0.6,0.32,0.13,1.15,3.08,75,69,0.37,0.15,0.53,1.11,1.47,1.9,5.86,2.87,373,40,56,-0.34,-0.12,-0.34,债券型-混合一级,开放申购,开放赎回,,10,100000000000.0,0.5,0.1,0.1,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2024/10/10,0.8671559948165528,0.22484102242176898,0.6899169435215947,0.32374830661216414,0.5575025396084676,7
700006,平安添利债券C,2012/11/27,2026/2/27,13.25,5.83,3.13,87,76,68,1.03,0.5,0.24,2.76,4.3,100,86,71,0.68,0.35,0.2,1.1,3.02,83,69,0.21,0.12,0.61,0.3,2.15,1.92,4.94,3.91,132,55,65,-1.1,-0.44,-1.1,债券型-混合一级,限大额,开放赎回,,10,10000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026/2/27,2022/12/31,0.8199497111366263,0.09632090271608673,0.7628239202657807,0.5057316532616181,0.5443032017550441,12
